Name ,DOB,Birth Time,Party
Michael Bennet ,11/28/1964,NA,Democrate
Joe Biden,11/20/1942,8:40,Democrate
Michael Bloomberg ,2/14/1942,15:40,Democrate
Cory Booker ,4/27/1969,1:10,Democrate
Pete Buttigieg ,1/19/1982,21:00,Democrate
John Delaney ,4/29/1963,2:40,Democrate
Tulsi Gabbard ,4/12/1981,NA,Democrate
Amy Klobuchar,5/25/1960,NA,Democrate
Deval Patrick,7/31/1956,4:00,Democrate
Bernie Sanders,9/8/1941,12:27,Democrate
Tom Steyer,5/27/1957,NA,Democrate
Elizabeth Warren,6/22/1949,NA,Democrate
Marianne Williamson,7/7/1952,3:53,Democrate
Andrew Yang,1/13/1975,6:20,Democrate
Donald Trump,6/14/1946,10:46,Republican
Bill Weld ,8/31/1945,13:47:00 PM,Republican
Joe Walsh ,12/27/1961,NA,Republican
