"Name",                  "Birth State"
"George Washington",     "Virginia"
"John Adams",            "Massachusetts"
"Thomas Jefferson",      "Virginia"
"James Madison",         "Virginia"
"James Monroe",          "Virginia"
"John Quincy Adams",     "Massachusetts"
"Andrew Jackson",        "South Carolina"
"Martin van Buren",      "New York"
"William Harrison",      "Virginia"
"John Tyler",            "Virginia"
"James Polk",            "North Carolina"
"Zachary Taylor",        "Virginia"
"Millard Fillmore",      "New York"
"Franklin Pierce",       "New Hampshire"
"James Buchanan",        "Pennsylvania"
"Abraham Lincoln",       "Kentucky"
"Andrew Johnson",        "North Carolina"
"Ulysses Grant",         "Ohio"
"Rutherford Hayes",      "Ohio"
"James Garfield",        "Ohio"
"Chester Arthur",        "Vermont"
"Grover Cleveland 1",    "New Jersey"
"Benjamin Harrison",     "Ohio"
"Grover Cleveland 2",    "New Jersey"
"William McKinley",      "Ohio"
"Theodore Roosevelt",    "New York"
"William Taft",          "Ohio"
"Woodrow Wilson",        "Virginia"
"Warren Harding",        "Ohio"
"Calvin Coolidge",       "Vermont"
"Herbert Hoover",        "Iowa"
"Franklin Roosevelt",    "New York"
"Harry Truman",          "Missouri"
"Dwight Eisenhower",     "Texas"
"John Kennedy",          "Massachusetts"
"Lyndon Johnson",        "Texas"
"Richard Nixon",         "California"
"Gerald Ford",           "Nebraska"
"Jimmy Carter",          "Georgia"
"Ronald Reagan",         "Illinois"
"George Bush I",         "Massachusetts"
"Bill Clinton",          "Arkansas"
"George Bush II",        "Connecticut"
"Barack Obama",          "Hawaii"
"Donald Trump",          "New York"

