,Name ,DOB,Day,Month,Year,Birth Time,Sun Sign,Chinese Zodiac,Party,Life Path Number
0,Michael Bennet ,11/28/1964,28,11,1964,,Sagittarius,Dragon,Democrat,5
1,Joe Biden,11/20/1942,20,11,1942,8:40 AM,Scorpio,Horse,Democrat,2
2,Michael Bloomberg ,2/14/1942,14,2,1942,3:40 PM,Aquarius,Horse,Democrat,5
3,Cory Booker ,4/27/1969,27,4,1969,1:10 AM,Taurus,Rooster,Democrat,11
4,Pete Buttigieg ,1/19/1982,19,1,1982,9:00 PM,Capricorn,Dog,Democrat,4
5,John Delaney ,4/29/1963,29,4,1963,2:40 AM,Taurus,Hare,Democrat,3
6,Tulsi Gabbard ,4/12/1981,12,4,1981,,Aries,Rooster,Democrat,8
7,Amy Klobuchar,5/25/1960,25,5,1960,,Gemini,Rat,Democrat,1
8,Deval Patrick,7/31/1956,31,7,1956,4:00 AM,Leo,Monkey,Democrat,5
9,Bernie Sanders,9/8/1941,8,9,1941,12:27 PM,Virgo,Snake,Democrat,5
10,Tom Steyer,5/27/1957,27,5,1957,,Gemini,Rooster,Democrat,9
11,Elizabeth Warren,6/22/1949,22,6,1949,,Cancer,Ox,Democrat,6
12,Marianne Williamson,7/7/1952,7,7,1952,3:53 AM,Cancer,Dragon,Democrat,5
13,Andrew Yang,1/13/1975,13,1,1975,6:20 AM,Capricorn,Hare,Democrat,9
14,Dold Trump,6/14/1946,14,6,1946,10:46 AM,Gemini,Dog,Republican,4
15,Bill Weld ,8/31/1945,31,8,1945,13:47:00 PM,Virgo,Rooster,Republican,3
16,Joe Walsh ,12/27/1961,17,12,1961,,Sagittarius,Ox,Republican,2
