,Presidency ,President ,Day,Month,Sun Sign,Year,Chinese Zodiac,Took office ,Left office ,Party ,Life Path Number,Mars,North Node
0,1,George Washington,22,2,Pisces,1732,Rat,30/04/1789,4/03/1797,Independent ,1,,
1,2,John Adams,30,10,Scorpio,1735,Hare,4/03/1797,4/03/1801,Federalist ,2,,
2,3,Thomas Jefferson,13,4,Aries,1743,Pig,4/03/1801,4/03/1809,Democratic-Republican ,5,,
3,4,James Madison,16,3,Pisces,1751,Sheep,4/03/1809,4/03/1817,Democratic-Republican ,6,,
4,5,James Monroe,28,4,Taurus,1758,Tiger,4/03/1817,4/03/1825,Democratic-Republican ,8,,
5,6,John Quincy Adams,11,7,Cancer,1767,Pig,4/03/1825,4/03/1829,Democratic-Republican/National Republican ,3,,
6,7,Andrew Jackson,15,3,Pisces,1767,Pig,4/03/1829,4/03/1837,Democratic ,3,,
7,8,Martin Van Buren,5,12,Sagittarius,1782,Tiger,4/03/1837,4/03/1841,Democratic ,8,,
8,9,William Henry Harrison,9,2,Aquarius,1773,Snake,4/03/1841,4/04/1841,Whig,11,,
9,10,John Tyler,29,3,Pries,1790,Dog,4/04/1841,4/03/1845,Whig,4,,
10,11,James K. Polk,2,11,Scorpio,1795,Hare,4/03/1845,4/03/1849,Democratic ,8,,
11,12,Zachary Taylor,24,11,Sagittarius,1784,Dragon,4/03/1849,9/07/1850,Whig,1,,
12,13,Millard Fillmore,7,1,Capricorn,1800,Monkey,9/07/1850,4/03/1853,Whig,8,,
13,14,Franklin Pierce,23,11,Sagittarius,1804,Rat,4/03/1853,4/03/1857,Democratic ,2,,
14,15,James Buchanan,23,4,Taurus,1791,Pig,4/03/1857,4/03/1861,Democratic ,9,,
15,16,Abraham Lincoln,12,2,Aquarius,1809,Snake,4/03/1861,15/04/1865,Republican/National Union,5,,
16,17,Andrew Johnson,29,12,Capricorn,1808,Dragon,15/04/1865,4/03/1869,Democratic/National Union,4,,
17,18,Ulysses S. Grant,27,4,Taurus,1822,Horse,4/03/1869,4/03/1877,Republican ,8,,
18,19,Rutherford B. Hayes,4,10,Libra,1822,Horse,4/03/1877,4/03/1881,Republican ,9,,
19,20,James A. Garfield,19,11,Scorpio,1831,Hare,4/03/1881,19/09/1881,Republican ,7,,
20,21,Chester A. Arthur,5,10,Libra,1829,Ox,19/09/1881,4/03/1885,Republican ,8,,
21,22,Grover Cleveland,18,3,Pisces,1837,Rooster,4/03/1885,4/03/1889,Democratic ,4,,
22,23,Benjamin Harrison,20,8,Leo,1833,Snake,4/03/1889,4/03/1893,Republican ,7,,
23,24,Grover Cleveland,18,3,Pisces,1837,Rooster,4/03/1893,4/03/1897,Democratic ,4,,
24,25,William McKinley,29,1,Aquarius,1843,Hare,4/03/1897,14/9/1901,Republican ,1,,
25,26,Theodore Roosevelt,27,10,Scorpio,1858,Horse,14/9/1901,4/3/1909,Republican ,5,,
26,27,William Howard Taft,15,9,Virgo,1857,Snake,4/3/1909,4/3/1913,Republican ,9,,
27,28,Woodrow Wilson,28,12,Capricorn,1856,Dragon,4/3/1913,4/3/1921,Democratic ,6,,
28,29,Warren G. Harding,2,11,Scorpio,1865,Ox,4/3/1921,2/8/1923,Republican ,6,,
29,30,Calvin Coolidge,4,7,Cancer,1872,Monkey,2/8/1923,4/3/1929,Republican ,11,,
30,31,Herbert Hoover,10,8,Leo,1874,Dog,4/3/1929,4/3/1933,Republican ,11,,
31,32,Franklin D. Roosevelt,30,1,Aquarius,1882,Horse,4/3/1933,12/4/1945,Democratic,5,,
32,33,Harry S. Truman,8,5,Taurus,1884,Monkey,12/4/1945,20/01/1953,Democratic,7,,
33,34,Dwight D. Eisenhower,14,10,Libra,1890,Tiger,20/01/1953,20/01/1961,Republican ,6,,
34,35,John Kennedy,29,5,Gemini,1917,Snake,20/01/1961,22/11/1963,Democratic,7,,
35,36,Lyndon B. Johnson,27,8,Virgo,1908,Monkey,22/11/1963,20/1/1969,Democratic,8,,
36,37,Richard M. Nixon,9,1,Capricorn,1913,Ox,20/1/1969,9/8/1974,Republican,6,,
37,38,Gerald R. Ford,14,7,Cancer,1913,Ox,9/8/1974,20/01/1977,Republican,8,,
38,39,Jimmy Carter,1,10,Libra,1924,Rat,20/01/1977,20/01/1981,Democratic ,9,,
39,40,Ronald Reagan,6,2,Aquarius,1911,Pig,20/01/1981,20/01/1989,Republican ,2,,
40,41,George H. W. Bush,12,6,Gemini,1924,Rat,20/01/1989,20/01/1993,Republican ,7,,
41,42,William J. Clinton,19,8,Leo,1946,Dog,20/01/1993,20/01/2001,Democratic ,11,,
42,43,George W. Bush,6,6,Gemini,1946,Dog,20/01/2001,20/01/2009,Republican ,6,,
43,44,Barack Hussein Obama,4,8,Leo,1961,Ox,20/01/2009,20/01/2016,Democratic   ,11,,
44,45,Donald Trump,14,6,Gemini,1946,Dog,20/01/2016,Incumbent ,Republican,4,,
